episode,wins,losses,draws,winRate,epsilon
50,0,30,0,0.0000,0.2974
100,0,30,0,0.0000,0.2947
150,0,30,0,0.0000,0.2920
200,0,30,0,0.0000,0.2893
250,0,30,0,0.0000,0.2866
300,0,30,0,0.0000,0.2839
350,0,30,0,0.0000,0.2812
400,0,30,0,0.0000,0.2784
450,0,30,0,0.0000,0.2757
500,0,30,0,0.0000,0.2730
550,0,30,0,0.0000,0.2703
600,0,30,0,0.0000,0.2676
650,0,30,0,0.0000,0.2649
700,0,30,0,0.0000,0.2622
750,0,30,0,0.0000,0.2595
800,0,30,0,0.0000,0.2568
850,0,30,0,0.0000,0.2541
900,15,15,0,0.5000,0.2514
950,0,30,0,0.0000,0.2487
1000,0,30,0,0.0000,0.2460
1050,0,30,0,0.0000,0.2433
1100,0,30,0,0.0000,0.2406
1150,0,30,0,0.0000,0.2379
1200,0,30,0,0.0000,0.2352
1250,0,30,0,0.0000,0.2325
1300,0,30,0,0.0000,0.2298
1350,0,30,0,0.0000,0.2271
1400,0,30,0,0.0000,0.2244
1450,0,30,0,0.0000,0.2217
1500,0,30,0,0.0000,0.2190
1550,0,30,0,0.0000,0.2163
1600,0,30,0,0.0000,0.2136
1650,0,30,0,0.0000,0.2109
1700,0,30,0,0.0000,0.2082
1750,0,30,0,0.0000,0.2055
1800,0,30,0,0.0000,0.2028
1850,0,30,0,0.0000,0.2001
1900,0,30,0,0.0000,0.1974
1950,0,30,0,0.0000,0.1947
2000,0,30,0,0.0000,0.1920
2050,0,30,0,0.0000,0.1893
2100,0,30,0,0.0000,0.1866
2150,0,30,0,0.0000,0.1839
2200,0,30,0,0.0000,0.1812
2250,0,30,0,0.0000,0.1785
2300,0,30,0,0.0000,0.1758
2350,0,30,0,0.0000,0.1731
2400,0,30,0,0.0000,0.1704
2450,0,30,0,0.0000,0.1677
2500,0,30,0,0.0000,0.1650
2550,0,30,0,0.0000,0.1623
2600,0,30,0,0.0000,0.1596
2650,0,30,0,0.0000,0.1569
2700,0,30,0,0.0000,0.1542
2750,0,30,0,0.0000,0.1515
2800,0,30,0,0.0000,0.1488
2850,0,30,0,0.0000,0.1461
2900,0,30,0,0.0000,0.1434
2950,0,30,0,0.0000,0.1407
3000,0,30,0,0.0000,0.1380
3050,0,30,0,0.0000,0.1353
3100,0,30,0,0.0000,0.1326
3150,0,30,0,0.0000,0.1299
3200,0,30,0,0.0000,0.1272
3250,0,30,0,0.0000,0.1245
3300,0,30,0,0.0000,0.1218
3350,0,30,0,0.0000,0.1191
3400,0,30,0,0.0000,0.1164
3450,0,30,0,0.0000,0.1137
3500,0,30,0,0.0000,0.1110
3550,0,30,0,0.0000,0.1083
3600,0,30,0,0.0000,0.1056
3650,0,30,0,0.0000,0.1029
3700,0,30,0,0.0000,0.1002
3750,0,30,0,0.0000,0.0975
3800,0,30,0,0.0000,0.0948
3850,0,30,0,0.0000,0.0921
3900,0,30,0,0.0000,0.0894
3950,0,30,0,0.0000,0.0867
4000,0,30,0,0.0000,0.0840
4050,0,30,0,0.0000,0.0813
4100,0,30,0,0.0000,0.0786
4150,15,15,0,0.5000,0.0759
4200,0,30,0,0.0000,0.0732
4250,0,30,0,0.0000,0.0705
4300,0,30,0,0.0000,0.0678
4350,0,30,0,0.0000,0.0651
4400,0,30,0,0.0000,0.0624
4450,0,30,0,0.0000,0.0597
4500,0,30,0,0.0000,0.0570
4550,0,30,0,0.0000,0.0543
4600,0,30,0,0.0000,0.0516
4650,0,30,0,0.0000,0.0489
4700,0,30,0,0.0000,0.0462
4750,0,30,0,0.0000,0.0435
4800,0,30,0,0.0000,0.0408
4850,0,30,0,0.0000,0.0381
4900,0,30,0,0.0000,0.0354
4950,0,30,0,0.0000,0.0327
5000,0,30,0,0.0000,0.0300
